"603: The Matrix (1999)","4.5","5.0","5.0","5.0","5.0","4.0","5.0","5.0","3.5","3.5","4.0","","4.0","4.5","5.0","3.5","5.0","4.0","4.5","4.5","4.0","3.0","5.0","4.5","4.0"
"604: The Matrix Reloaded (2003)","4.0","4.0","4.5","5.0","2.5","2.5","5.0","5.0","4.0","3.0","4.0","","2.5","3.5","5.0","4.0","3.0","2.0","3.0","2.5","5.0","3.0","4.0","1.5","3.5"
"607: Men in Black (a.k.a. MIB) (1997)","3.0","4.5","5.0","3.0","4.0","3.0","4.5","1.5","3.5","5.0","3.5","4.0","2.5","3.0","2.0","3.0","4.5","4.0","3.5","2.0","4.5","","4.0","4.5","2.5"
"629: The Usual Suspects (1995)","","4.0","5.0","","","4.0","4.5","2.5","4.5","5.0","4.0","","4.0","","","","","","3.5","4.0","5.0","","","5.0","3.0"
"640: Catch Me If You Can (2002)","3.5","4.5","","3.0","4.0","4.0","","5.0","3.5","5.0","","5.0","4.5","","","4.0","4.0","","4.0","3.0","3.5","","","",""
"641: Requiem for a Dream (2000)","","4.5","","","","3.0","","3.0","","5.0","","","","5.0","5.0","","3.5","","","2.5","4.0","4.0","","",""
"664: Twister (1996)","","4.0","","","","2.5","4.5","3.0","4.0","2.5","","","3.0","","","3.5","","4.5","3.5","0.5","","","","",""
"671: Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)","","4.0","5.0","4.0","4.0","3.0","","5.0","3.5","0.5","4.0","4.5","5.0","","4.0","3.0","","3.5","2.0","0.5","5.0","3.0","","",""
"672: Harry Potter and the Chamber of Secrets (2002)","3.0","3.5","5.0","3.0","4.5","3.5","","5.0","3.0","0.5","4.5","4.0","5.0","4.0","3.0","4.0","0.5","3.0","2.0","0.5","2.5","","","",""
"680: Pulp Fiction (1994)","","4.0","","3.0","5.0","5.0","4.5","1.0","4.5","5.0","3.5","4.0","4.5","5.0","5.0","4.5","3.0","3.0","4.5","4.5","3.5","5.0","","4.0","3.0"
"745: The Sixth Sense (1999)","","4.0","","","4.0","4.0","","3.0","4.5","5.0","","3.5","3.0","","4.0","3.5","4.0","4.0","","3.0","","","","3.0","4.5"
"752: V for Vendetta (2006)","","4.0","5.0","4.0","5.0","4.0","4.5","2.0","3.5","3.5","3.0","2.5","3.0","4.5","3.0","","4.5","","","4.5","3.5","2.5","","3.5","3.5"
"786: Almost Famous (2000)","","3.5","","","","","","5.0","4.0","","","1.5","2.5","","","","","","","3.0","5.0","","","",""
"788: Mrs. Doubtfire (1993)","","5.0","","","2.5","4.0","","2.0","3.5","5.0","","3.0","4.0","","","3.5","","2.5","3.5","2.0","","","","1.5","2.0"
"807: Seven (a.k.a. Se7en) (1995)","","5.0","5.0","4.0","","4.5","","1.0","4.5","5.0","","","4.0","","3.0","","5.0","","","4.5","","2.0","5.0","4.0","4.5"
"808: Shrek (2001)","","4.5","5.0","3.0","5.0","4.0","5.0","5.0","3.5","1.5","4.5","3.0","5.0","3.5","3.0","4.5","2.0","3.5","3.5","3.0","3.0","","4.0","4.0","4.0"
"809: Shrek 2 (2004)","","4.0","5.0","4.0","3.5","3.5","5.0","4.5","3.5","","4.5","3.0","4.0","","3.0","4.0","1.5","1.5","","3.0","","","3.5","","3.5"
"812: Aladdin (1992)","","5.0","","2.5","3.0","3.0","","1.5","3.5","3.0","","4.0","3.0","","","3.5","","2.5","3.5","2.0","5.0","","4.0","",""
"854: The Mask (1994)","","2.5","","","3.5","3.0","4.5","2.0","3.0","4.0","","2.0","","","1.0","2.5","2.5","2.5","4.0","2.5","4.5","","5.0","3.5","2.5"
"857: Saving Private Ryan (1998)","","4.0","","","3.5","5.0","4.5","4.5","4.5","3.5","5.0","3.5","5.0","5.0","2.0","4.0","2.0","","","3.5","4.0","5.0","4.0","3.0","3.5"
"862: Toy Story (1995)","4.0","5.0","5.0","","3.0","4.0","3.5","5.0","4.5","4.0","4.0","","","4.5","","4.5","5.0","4.0","3.5","3.5","","3.0","","","3.0"
"954: Mission: Impossible (1996)","4.5","4.0","4.0","","","","4.5","4.5","3.5","3.5","3.5","","","","4.0","2.5","2.0","4.0","4.0","2.5","4.0","","4.0","2.0","4.0"
"955: Mission: Impossible II (2000)","4.0","3.5","4.0","","","","4.0","4.5","3.0","5.0","4.5","","3.5","","4.0","3.0","","3.0","3.5","2.0","4.0","","4.0","2.5","3.5"
"1422: The Departed (2006)","","5.0","","3.5","3.0","4.0","","5.0","4.0","5.0","3.5","5.0","5.0","","4.0","","5.0","","","2.0","5.0","4.5","4.0","",""
"1572: Die Hard: With a Vengeance (1995)","","","","","5.0","","","2.0","3.0","3.0","4.0","","4.0","","4.0","3.5","5.0","5.0","4.0","3.5","5.0","2.0","","","3.5"
"1597: Meet the Parents (2000)","","2.0","","","3.5","3.5","5.0","1.0","3.0","5.0","","4.0","4.0","","","3.0","","","4.0","2.0","","","","","2.0"
"1637: Speed (1994)","","3.0","","","2.0","","4.0","4.5","2.5","3.0","4.0","","3.5","","","3.0","","4.5","3.5","2.0","4.5","","","","3.0"
"1891: Star Wars: Episode V - The Empire Strikes Back (1980)","","4.5","5.0","4.0","4.5","4.0","","5.0","4.0","5.0","","4.0","","4.0","3.0","3.5","1.0","5.0","4.5","4.5","4.5","","","",""
"1892: Star Wars: Episode VI - Return of the Jedi (1983)","","4.5","5.0","4.5","4.0","3.0","","4.5","4.0","5.0","","4.0","","4.0","3.0","3.0","","3.5","4.5","4.0","2.5","","","",""
"1894: Star Wars: Episode II - Attack of the Clones (2002)","3.0","2.5","5.0","4.0","3.5","","","4.5","3.5","5.0","","5.0","","3.0","3.0","4.0","","1.5","3.0","3.0","","","","",""
"1900: Traffic (2000)","","1.0","","","","","","5.0","4.0","3.5","","","3.0","","3.0","3.5","","","","3.0","4.0","","","4.5",""
"2024: The Patriot (2000)","","","","","","4.0","4.5","0.5","3.0","1.0","","","4.5","","3.0","4.0","","2.5","","0.5","5.0","3.0","","","3.0"
"2164: Stargate (1994)","","","","","","","","1.5","3.5","","","","","","5.0","3.0","","4.0","","3.0","","","","3.0","2.5"
"2501: The Bourne Identity (2002)","","4.5","","","3.5","","5.0","2.0","4.0","","4.0","","4.0","4.0","5.0","4.0","0.5","3.5","4.0","4.0","2.5","4.0","","","4.0"
"2502: The Bourne Supremacy (2004)","","4.0","","","4.0","","5.0","5.0","3.5","","3.5","","4.0","","5.0","3.5","0.5","3.5","4.0","3.0","4.0","4.0","","","4.5"
"3049: Ace Ventura: Pet Detective (1994)","","3.0","4.0","","2.5","3.5","5.0","1.0","3.5","5.0","","2.5","4.0","","1.0","","1.0","1.0","","0.5","","","3.0","","1.0"
"4327: Charlie's Angels (2000)","","1.5","","","3.0","","","1.0","2.5","5.0","3.0","5.0","4.0","","","2.0","","1.0","3.5","1.0","4.0","","","","2.5"
"5503: The Fugitive (1993)","","4.0","","","","","4.0","1.0","3.5","3.5","","4.0","3.0","","","","","4.0","","2.5","3.0","","","2.0","4.0"
"7443: Chicken Run (2000)","","1.0","","","","","4.0","2.5","3.0","","","","","","3.0","3.0","3.0","","3.5","2.5","","2.5","","","3.0"
"8358: Cast Away (2000)","","4.0","","","","","","2.5","4.5","","5.0","4.0","4.0","5.0","3.0","3.5","","","","2.5","","4.0","","","4.0"
"8467: Dumb & Dumber (1994)","","1.0","","","1.0","4.0","4.5","2.0","4.0","5.0","","4.0","","","","1.5","0.5","","4.0","0.5","4.0","","","","0.5"
"8587: The Lion King (1994)","4.0","5.0","5.0","3.5","4.0","4.0","","5.0","4.5","4.0","4.5","4.5","4.0","","3.0","5.0","4.0","4.0","","0.5","3.0","3.0","4.5","",""
"9331: Clear and Present Danger (1994)","","","","","","","","2.5","3.5","3.5","","","3.5","","","","","3.0","","0.5","","","","",""
"9741: Unbreakable (2000)","","","","","","","","3.5","3.5","","","","2.5","","","","","","","3.0","3.0","","","",""
"9802: The Rock (1996)","5.0","","","","","3.5","4.0","5.0","2.5","3.0","4.5","","3.5","","2.0","3.0","","3.5","","2.5","5.0","","","","4.0"
"9806: The Incredibles (2004)","3.5","5.0","3.5","","3.0","3.5","4.5","5.0","3.5","4.0","","4.5","4.0","","","3.5","0.5","5.0","3.5","3.0","","","4.5","","3.5"
"10020: Beauty and the Beast (1991)","3.0","5.0","","","4.0","3.5","","2.0","4.0","3.0","","4.0","3.0","","","4.0","","4.0","2.0","2.5","","","4.0","",""
"36657: X-Men (2000)","","4.5","","","4.0","","4.5","5.0","4.0","5.0","","4.0","3.5","","4.0","3.5","","3.0","4.0","3.5","","","","3.0","4.0"
"36658: X2: X-Men United (2003)","3.5","4.0","","","3.5","","4.5","4.5","4.0","5.0","","4.5","3.5","","4.0","3.5","","2.0","","3.0","4.0","","3.5","","4.0"
"36955: True Lies (1994)","","","","","3.0","3.5","4.0","1.5","3.0","2.0","","","4.0","","","","","4.0","","1.5","4.0","","","",""
